filename,product_id,page_title,slug,short_description,full_description,seo_title,meta_description
BRD_5996.JPG,EN-HEMP-SEED-OIL-250ML,"Eco Natural Hemp Seed Oil – 250 ml","eco-natural-hemp-seed-oil-250ml","A smooth, plant-based oil with a mild nutty profile and a clean, natural character.","Eco Natural Hemp Seed Oil is a premium cold-use oil made for kitchens that value distinctive flavor and natural ingredients. Its mild nutty taste and smooth texture make it a versatile addition to salads, bowls, and finishing applications where a gentle, earthy note is desired.","Eco Natural Hemp Seed Oil 250 ml | Premium Plant-Based Oil","Discover Eco Natural Hemp Seed Oil 250 ml, a premium plant-based oil with a mild nutty flavor, smooth texture, and versatile cold-use appeal."
BRD_5979.JPG,EN-CAROB-EXTRACT-680G,"Eco Natural Carob Extract – 680 g","eco-natural-carob-extract-680g","A rich and naturally sweet carob extract with deep traditional character.","Eco Natural Carob Extract offers a full-bodied sweetness and a dense, satisfying texture inspired by traditional pantry staples. This 680 g format is ideal for regular home use, whether served at breakfast, enjoyed by the spoon, or used in desserts and sweet preparations.","Eco Natural Carob Extract 680 g | Rich Traditional Sweetness","Shop Eco Natural Carob Extract 680 g, a rich and naturally sweet carob spread with full-bodied flavor for breakfast, desserts, and daily use."
BRD_5987.JPG,EN-CAROB-EXTRACT-340G,"Eco Natural Carob Extract – 340 g","eco-natural-carob-extract-340g","A concentrated carob extract with smooth texture and deep, naturally sweet flavor.","Eco Natural Carob Extract in the 340 g size delivers the same rich traditional taste in a more compact format. It is a practical everyday option for those who want a dense, aromatic sweet spread for breakfast tables, simple desserts, or direct serving.","Eco Natural Carob Extract 340 g | Smooth & Naturally Sweet","Explore Eco Natural Carob Extract 340 g, a concentrated and naturally sweet carob spread with smooth texture and everyday serving versatility."
BRD_5993.JPG,EN-POMEGRANATE-SOUR-340G,"Eco Natural Pomegranate Sour – 340 g","eco-natural-pomegranate-sour-340g","A bold, tangy pomegranate sour that brings depth and brightness to savory dishes.","Eco Natural Pomegranate Sour is crafted for kitchens that want a sharper, fruit-forward finishing note in everyday cooking. Its sweet-sour balance makes it well suited for salads, marinades, vegetable dishes, and traditional recipes that benefit from extra depth and character.","Eco Natural Pomegranate Sour 340 g | Tangy Kitchen Essential","Buy Eco Natural Pomegranate Sour 340 g, a bold sweet-sour pantry essential for salads, marinades, savory dishes, and traditional recipes."
BRD_6019.JPG,EN-AVOCADO-OIL-250ML,"Eco Natural Avocado Oil – 250 ml","eco-natural-avocado-oil-250ml","A smooth and delicate avocado oil with a refined, clean flavor profile.","Eco Natural Avocado Oil is a premium kitchen oil designed for simple, elegant everyday use. Its clean taste and smooth finish make it a strong choice for salads, drizzling, and finishing dishes where a light and polished oil is preferred.","Eco Natural Avocado Oil 250 ml | Smooth Premium Kitchen Oil","Discover Eco Natural Avocado Oil 250 ml, a clean and delicate premium oil ideal for salads, drizzling, and refined everyday kitchen use."
BRD_5999.JPG,EN-PUMPKIN-SEED-OIL-250ML,"Eco Natural Pumpkin Seed Oil – 250 ml","eco-natural-pumpkin-seed-oil-250ml","A rich, distinctive oil with bold roasted seed character and gourmet appeal.","Eco Natural Pumpkin Seed Oil stands out with its deep flavor and memorable seed-forward profile. It is well suited for salads, cold plates, and specialty serving moments where a stronger, more expressive oil can add character to the dish.","Eco Natural Pumpkin Seed Oil 250 ml | Rich Gourmet Flavor","Shop Eco Natural Pumpkin Seed Oil 250 ml, a bold and flavorful premium oil with roasted seed notes and gourmet cold-use versatility."
BRD_6012.JPG,EN-POMEGRANATE-SEED-OIL-250ML,"Eco Natural Pomegranate Seed Oil – 250 ml","eco-natural-pomegranate-seed-oil-250ml","A specialty seed oil with premium presentation and a distinctive niche profile.","Eco Natural Pomegranate Seed Oil is a standout addition to a curated natural product range. With its elegant presentation and specialty positioning, it appeals to customers seeking uncommon oils with a refined look and a strong premium identity.","Eco Natural Pomegranate Seed Oil 250 ml | Specialty Premium Oil","Explore Eco Natural Pomegranate Seed Oil 250 ml, a distinctive specialty oil with elegant presentation and premium natural product appeal."
BRD_6017.JPG,EN-BLACK-SEED-OIL-250ML,"Eco Natural Black Seed Oil – 250 ml","eco-natural-black-seed-oil-250ml","A bold and aromatic black seed oil with strong traditional character.","Eco Natural Black Seed Oil is designed for customers who appreciate heritage-inspired pantry products with a distinctive identity. Its intense aroma and premium presentation make it a notable option within natural and specialty oil collections.","Eco Natural Black Seed Oil 250 ml | Bold Traditional Oil","Buy Eco Natural Black Seed Oil 250 ml, a bold and aromatic specialty oil with strong traditional appeal and premium presentation."
BRD_6031.JPG,MH-SAFFLOWER-OIL-250ML,"Metis Hierapolis Safflower Oil – 250 ml","metis-hierapolis-safflower-oil-250ml","A light and versatile safflower oil with a clean, premium presentation.","Metis Hierapolis Safflower Oil is a refined plant-based oil suited to simple, everyday culinary use. Its clean profile and polished packaging make it a strong fit for modern kitchens, cold applications, and shelves built around natural specialty products.","Metis Hierapolis Safflower Oil 250 ml | Light Premium Oil","Discover Metis Hierapolis Safflower Oil 250 ml, a light and versatile premium oil for natural kitchens and everyday cold-use applications."
BRD_6033.JPG,EN-THISTLE-SEED-OIL-250ML,"Eco Natural Thistle Seed Oil – 250 ml","eco-natural-thistle-seed-oil-250ml","A distinctive seed oil with bold botanical identity and premium shelf appeal.","Eco Natural Thistle Seed Oil is positioned as a niche specialty product for customers drawn to traditional seed-based oils and distinctive natural ingredients. Its clean packaging and focused identity make it a strong addition to curated wellness and gourmet assortments.","Eco Natural Thistle Seed Oil 250 ml | Specialty Seed Oil","Shop Eco Natural Thistle Seed Oil 250 ml, a premium specialty seed oil with traditional character and strong botanical shelf appeal."
