filename,product_id,page_title,slug,short_description,full_description,seo_title,meta_description
BRD_5996.JPG,EN-HEMP-SEED-OIL-250ML,Eco Natural Конопляное масло – 250 мл,eco-natural-hemp-seed-oil-250ml,"Гладкое растительное масло с мягким ореховым ароматом и чистым, естественным характером.","Eco Natural Конопляное масло - это премиальное масло холодного использования, созданное для кухонь, которые ценят насыщенный вкус и натуральные ингредиенты. Его мягкий ореховый вкус и гладкая текстура делают его универсальным дополнением к салатам, чашам и финишным приложениям, где желателен легкий земляной оттенок.",Eco Natural Конопляное масло 250 мл | Премиальное растительное масло,"Откройте для себя Eco Natural Конопляное масло 250 мл, премиальное растительное масло с мягким ореховым вкусом, гладкой текстурой и универсальным холодным использованием."
BRD_5979.JPG,EN-CAROB-EXTRACT-680G,Eco Natural Рожковое масло – 680 г,eco-natural-carob-extract-680g,Богатое и естественно сладкое рожковое масло с глубоким традиционным характером.,"Eco Natural Рожковое масло предлагает полнотелую сладость и плотную, удовлетворяющую текстуру, вдохновленную традиционными кладовыми. Формат 680 г идеален для регулярного домашнего использования - подается на завтрак, едится ложкой или используется в десертах и сладких блюдах.",Eco Natural Рожковое масло 680 г | Богатая традиционная сладость,"Купите Eco Natural Рожковое масло 680 г, богатый и естественно сладкий рожковый спред с полнотелым вкусом для завтрака, десертов и повседневного использования."
BRD_5987.JPG,EN-CAROB-EXTRACT-340G,Eco Natural Рожковое масло – 340 г,eco-natural-carob-extract-340g,"Концентрированное рожковое масло с гладкой текстурой и глубоким, естественно сладким вкусом.","Eco Natural Рожковое масло в формате 340 г доставляет тот же богатый традиционный вкус в более компактном формате. Это практичный вариант для тех, кто ежедневно хочет густой, ароматный сладкий спред для завтраков, простых десертов или прямого подачи.",Eco Natural Рожковое масло 340 г | Гладкое и естественно сладкое,"Исследуйте Eco Natural Рожковое масло 340 г, концентрированный и естественно сладкий рожковый спред с гладкой текстурой и универсальностью повседневного использования."
BRD_5993.JPG,EN-POMEGRANATE-SOUR-340G,Eco Natural Гранатовый кислый соус – 340 г,eco-natural-pomegranate-sour-340g,"Смелый, терпкий гранатовый кислый соус, придающий глубину и яркость пикантным блюдам.","Eco Natural Гранатовый кислый соус создан для кухонь, которые хотят более острого, фруктового финишного штриха в повседневной готовке. Его сладко-кислый баланс хорошо подходит для салатов, маринадов, овощных блюд и традиционных рецептов, которые выигрывают от дополнительной глубины и характера.",Eco Natural Гранатовый кислый соус 340 г | Терпкий кухонный необходимый элемент,"Купите Eco Natural Гранатовый кислый соус 340 г, смелый сладко-кислый необходимый элемент кладовой для салатов, маринадов, пикантных блюд и традиционных рецептов."
BRD_6019.JPG,EN-AVOCADO-OIL-250ML,Eco Natural Авокадное масло – 250 мл,eco-natural-avocado-oil-250ml,"Гладкое и деликатное авокадное масло с изысканным, чистым вкусовым профилем.","Eco Natural Авокадное масло - это премиальное кухонное масло, разработанное для простого, элегантного повседневного использования. Его чистый вкус и гладкий финиш делают его отличным выбором для салатов, заливки и финишных блюд, где предпочитается легкое и отполированное масло.",Eco Natural Авокадное масло 250 мл | Гладкое премиальное кухонное масло,"Откройте для себя Eco Natural Авокадное масло 250 мл, чистое и деликатное премиальное масло, идеальное для салатов, заливки и изысканного повседневного кухонного использования."
BRD_5999.JPG,EN-PUMPKIN-SEED-OIL-250ML,Eco Natural Масло из тыквенных семечек – 250 мл,eco-natural-pumpkin-seed-oil-250ml,"Богатое, отчетливое масло с насыщенным характером жареных семян и гурме-привлекательностью.","Eco Natural Масло из тыквенных семечек выделяется своим глубоким вкусом и запоминающимся профилем, ориентированным на семена. Хорошо подходит для салатов, холодных блюд и специальных моментов подачи, где более сильное и выразительное масло может добавить характер блюду.",Eco Natural Масло из тыквенных семечек 250 мл | Богатый гурме-вкус,"Купите Eco Natural Масло из тыквенных семечек 250 мл, смелое и ароматное премиальное масло с нотками жареных семян и универсальностью холодного гурме-использования."
BRD_6012.JPG,EN-POMEGRANATE-SEED-OIL-250ML,Eco Natural Масло из гранатовых семечек – 250 мл,eco-natural-pomegranate-seed-oil-250ml,Специализированное масло из семян с премиальным представлением и отличительным нишевым профилем.,"Eco Natural Масло из гранатовых семечек - это выдающееся дополнение к тщательно подобранному ассортименту натуральных продуктов. Благодаря элегантному представлению и специализированному позиционированию, оно привлекает покупателей, ищущих необычные масла с изысканным видом и сильной премиальной идентичностью.",Eco Natural Масло из гранатовых семечек 250 мл | Специализированное премиальное масло,"Исследуйте Eco Natural Масло из гранатовых семечек 250 мл, отличительное специализированное масло с элегантным представлением и премиальной привлекательностью натурального продукта."
BRD_6017.JPG,EN-BLACK-SEED-OIL-250ML,Eco Natural Масло черного тмина – 250 мл,eco-natural-black-seed-oil-250ml,Смелое и ароматное масло черного тмина с сильным традиционным характером.,"Eco Natural Масло черного тмина разработано для покупателей, которые ценят вдохновленные наследием продукты кладовой с характерной идентичностью. Его интенсивный аромат и премиальное представление делают его заметным вариантом в коллекциях натуральных и специализированных масел.",Eco Natural Масло черного тмина 250 мл | Смелое традиционное масло,"Купите Eco Natural Масло черного тмина 250 мл, смелое и ароматное специализированное масло с сильной традиционной привлекательностью и премиальным представлением."
BRD_6031.JPG,MH-SAFFLOWER-OIL-250ML,Metis Hierapolis Сафлоровое масло – 250 мл,metis-hierapolis-safflower-oil-250ml,"Легкое и универсальное сафлоровое масло с чистым, премиальным представлением.","Metis Hierapolis Сафлоровое масло - это изысканное растительное масло, подходящее для простого, повседневного кулинарного использования. Его чистый профиль и отполированная упаковка делают его отличным вариантом для современных кухонь, холодных приложений и полок, построенных вокруг натуральных специализированных продуктов.",Metis Hierapolis Сафлоровое масло 250 мл | Легкое премиальное масло,"Откройте для себя Metis Hierapolis Сафлоровое масло 250 мл, легкое и универсальное премиальное масло для натуральных кухонь и повседневного холодного использования."
BRD_6033.JPG,EN-THISTLE-SEED-OIL-250ML,Eco Natural Масло расторопши – 250 мл,eco-natural-thistle-seed-oil-250ml,Отличительное масло из семян с смелой ботанической идентичностью и премиальной полочной привлекательностью.,"Eco Natural Масло расторопши позиционируется как нишевой специализированный продукт для покупателей, привлеченных традиционными маслами на основе семян и характерными натуральными ингредиентами. Его чистая упаковка и сфокусированная идентичность делают его сильным дополнением к тщательно подобранным серии здоровья и гурме.",Eco Natural Масло расторопши 250 мл | Специализированное масло из семян,"Купите Eco Natural Масло расторопши 250 мл, премиальное специализированное масло из семян с традиционным характером и сильной ботанической полочной привлекательностью."
